,model,train_or_test,split_label,mcc,accuracy
0,LightGBMXT_BAG_L2,trainval,0,0.5973214698739557,0.7421220582369366
1,WeightedEnsemble_L3,trainval,0,0.5973214698739557,0.7421220582369366
2,NeuralNetTorch_BAG_L2,trainval,0,0.596613304628182,0.7381332269644995
3,XGBoost_BAG_L2,trainval,0,0.5959977665942946,0.7395293179098524
4,LightGBMLarge_BAG_L2,trainval,0,0.5929695418104021,0.738731551655365
5,LightGBM_BAG_L2,trainval,0,0.592922805729867,0.7385321100917431
6,RandomForestEntr_BAG_L2,trainval,0,0.5890226668349725,0.7355404866374152
7,ExtraTreesGini_BAG_L2,trainval,0,0.5871820895489241,0.7347427203829278
8,CatBoost_BAG_L2,trainval,0,0.5845024076361941,0.7325488631830873
9,RandomForestGini_BAG_L2,trainval,0,0.5830360876843972,0.7319505384922218
10,ExtraTreesEntr_BAG_L2,trainval,0,0.5805756831888804,0.7303550059832469
11,NeuralNetFastAI_BAG_L2,trainval,0,0.5803008660380887,0.7285600319106502
12,LightGBMXT_BAG_L1,trainval,0,0.5708525110868435,0.7263661747108098
13,WeightedEnsemble_L2,trainval,0,0.5708525110868435,0.7263661747108098
14,LightGBMLarge_BAG_L1,trainval,0,0.569242175731174,0.725967291583566
15,XGBoost_BAG_L1,trainval,0,0.5679227381523053,0.7249700837654567
16,LightGBM_BAG_L1,trainval,0,0.5605182311422003,0.7201834862385321
17,CatBoost_BAG_L1,trainval,0,0.543461162794765,0.7096130833665736
18,RandomForestEntr_BAG_L1,trainval,0,0.5425315948981134,0.7096130833665736
19,RandomForestGini_BAG_L1,trainval,0,0.5405949512287681,0.7086158755484643
20,ExtraTreesGini_BAG_L1,trainval,0,0.5253414731234706,0.699042680494615
21,NeuralNetTorch_BAG_L1,trainval,0,0.5228569466228167,0.693458316713203
22,ExtraTreesEntr_BAG_L1,trainval,0,0.5226268105198462,0.6972477064220184
23,NeuralNetFastAI_BAG_L1,trainval,0,0.4560128692178596,0.6543677702433187
24,KNeighborsDist_BAG_L1,trainval,0,0.3460883869556133,0.583366573593937
25,KNeighborsUnif_BAG_L1,trainval,0,0.3309734210067909,0.5686078978859195
26,LightGBMXT_BAG_L2,test,0,0.6493189314937696,0.7751196172248804
27,WeightedEnsemble_L3,test,0,0.6493189314937696,0.7751196172248804
28,NeuralNetTorch_BAG_L2,test,0,0.6447173871148998,0.7697368421052632
29,XGBoost_BAG_L2,test,0,0.6489729794849636,0.7745215311004785
30,LightGBMLarge_BAG_L2,test,0,0.6410469035970427,0.7697368421052632
31,LightGBM_BAG_L2,test,0,0.644938687784041,0.7721291866028708
32,RandomForestEntr_BAG_L2,test,0,0.6534623292855388,0.7769138755980861
33,ExtraTreesGini_BAG_L2,test,0,0.6518390867125495,0.7763157894736842
34,CatBoost_BAG_L2,test,0,0.6512633064649966,0.7751196172248804
35,RandomForestGini_BAG_L2,test,0,0.6589503880028499,0.7811004784688995
36,ExtraTreesEntr_BAG_L2,test,0,0.6406471109812256,0.7691387559808612
37,NeuralNetFastAI_BAG_L2,test,0,0.6478701262271002,0.7727272727272727
38,WeightedEnsemble_L2,test,0,0.6112129031407275,0.7523923444976076
39,LightGBMXT_BAG_L1,test,0,0.6112129031407275,0.7523923444976076
40,LightGBMLarge_BAG_L1,test,0,0.6223957097475478,0.7595693779904307
41,XGBoost_BAG_L1,test,0,0.6177599140836139,0.756578947368421
42,LightGBM_BAG_L1,test,0,0.6166782447913642,0.7559808612440191
43,CatBoost_BAG_L1,test,0,0.6099363681220134,0.7517942583732058
44,RandomForestEntr_BAG_L1,test,0,0.614295675042567,0.7547846889952153
45,RandomForestGini_BAG_L1,test,0,0.5960540940053021,0.743421052631579
46,ExtraTreesGini_BAG_L1,test,0,0.5772653974636717,0.7314593301435407
47,NeuralNetTorch_BAG_L1,test,0,0.5823507135347351,0.7326555023923444
48,ExtraTreesEntr_BAG_L1,test,0,0.5813203648297534,0.7338516746411483
49,NeuralNetFastAI_BAG_L1,test,0,0.5308537735620196,0.7021531100478469
50,KNeighborsDist_BAG_L1,test,0,0.3591220733009857,0.5927033492822966
51,KNeighborsUnif_BAG_L1,test,0,0.3301298155045344,0.5681818181818182
52,WeightedEnsemble_L3,trainval,1,0.6157520084048137,0.7540885520542481
53,XGBoost_BAG_L2,trainval,1,0.615551582437557,0.7538891104906262
54,LightGBMXT_BAG_L2,trainval,1,0.6150648540352416,0.7536896689270044
55,NeuralNetTorch_BAG_L2,trainval,1,0.6112013857120686,0.7487036298364579
56,LightGBMLarge_BAG_L2,trainval,1,0.6097172775093223,0.7502991623454328
57,LightGBM_BAG_L2,trainval,1,0.6080376286871847,0.7493019545273235
58,RandomForestGini_BAG_L2,trainval,1,0.604551611149627,0.7467092142002393
59,RandomForestEntr_BAG_L2,trainval,1,0.6039499109647243,0.7461108895093738
60,ExtraTreesGini_BAG_L2,trainval,1,0.603863370106983,0.7463103310729956
61,CatBoost_BAG_L2,trainval,1,0.6024211112715033,0.7449142401276426
62,ExtraTreesEntr_BAG_L2,trainval,1,0.60017847063039,0.7439170323095333
63,NeuralNetFastAI_BAG_L2,trainval,1,0.5902908963758675,0.7365376944555245
64,LightGBMLarge_BAG_L1,trainval,1,0.5891374022547367,0.7383326685281213
65,WeightedEnsemble_L2,trainval,1,0.5891374022547367,0.7383326685281213
66,LightGBMXT_BAG_L1,trainval,1,0.5883548608688086,0.7375349022736338
67,LightGBM_BAG_L1,trainval,1,0.5868348613398775,0.7365376944555245
68,XGBoost_BAG_L1,trainval,1,0.5823248039549977,0.7335460710011966
69,RandomForestGini_BAG_L1,trainval,1,0.5639931642487518,0.7227762265656162
70,RandomForestEntr_BAG_L1,trainval,1,0.5612843404842102,0.7209812524930196
71,CatBoost_BAG_L1,trainval,1,0.5585887508571272,0.7187873952931791
72,ExtraTreesEntr_BAG_L1,trainval,1,0.552576533361158,0.7153968887116074
73,ExtraTreesGini_BAG_L1,trainval,1,0.5507433281634905,0.7142002393298763
74,NeuralNetTorch_BAG_L1,trainval,1,0.5332116061075586,0.699042680494615
75,NeuralNetFastAI_BAG_L1,trainval,1,0.4593149031473658,0.656761069006781
76,KNeighborsDist_BAG_L1,trainval,1,0.33948210348239277,0.5791783007578779
77,KNeighborsUnif_BAG_L1,trainval,1,0.3234968655531151,0.5632229756681293
78,WeightedEnsemble_L3,test,1,0.6006164802654383,0.7446172248803827
79,XGBoost_BAG_L2,test,1,0.5997930069616436,0.7440191387559809
80,LightGBMXT_BAG_L2,test,1,0.6019961476051121,0.7458133971291866
81,NeuralNetTorch_BAG_L2,test,1,0.6101723703195592,0.7482057416267942
82,LightGBMLarge_BAG_L2,test,1,0.6027816983927572,0.7458133971291866
83,LightGBM_BAG_L2,test,1,0.6009184027214614,0.7452153110047847
84,RandomForestGini_BAG_L2,test,1,0.6041784296573374,0.7470095693779905
85,RandomForestEntr_BAG_L2,test,1,0.6094286746402251,0.75
86,ExtraTreesGini_BAG_L2,test,1,0.5967651165127162,0.7422248803827751
87,CatBoost_BAG_L2,test,1,0.5987617764188999,0.742822966507177
88,ExtraTreesEntr_BAG_L2,test,1,0.60496828506537,0.7476076555023924
89,NeuralNetFastAI_BAG_L2,test,1,0.6085547430838598,0.7488038277511961
90,WeightedEnsemble_L2,test,1,0.5735688612620824,0.7296650717703349
